x, y
2019.493842421601, 5.485251376456444
2019.493842421601, 5.485251376456444
2024.008205929761, 5.500725028614657
2027.7017760728013, 5.531673041269477
2032.2161395809615, 5.6864116878667925
2037.004109227037, 5.8102030301476795
2043.0232563964796, 5.918520011931961
2049.0424035659225, 5.949468024586781
2054.3775604392026, 5.918520011931961
2060.533510677603, 5.887572707615532
2066.5526703713585, 5.9804160372416
2074.0766012020836, 6.104206671184095
2080.0957608958392, 6.026837702054633
2087.6196917265643, 6.073259366867667
2093.9124450339223, 6.042311354212848
2100.4787919548826, 5.933994372428566
2100.4787919548826, 5.918520011931961
